COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-6714869_Q	Simplified versus traditional techniques for complete denture fabrication: A systematic review
COMPLETEPAPER-6719364_Q	Fine structure of the vaccinia virion determined by controlled degradation and immunolocalization
COMPLETEPAPER-6721789_Q	Characterization of Brown spider (Loxosceles intermedia) hemolymph: Cellular and biochemical analyses
COMPLETEPAPER-6730156_Q	Storage at low temperature differentially affects the colour and carotenoid composition of two cultivars of banana
COMPLETEPAPER-6730157_Q	Extraction of pectin from passion fruit peel using moderate electric field and conventional heating extraction methods
COMPLETEPAPER-6735833_Q	Human Adipose Tissue Derived Pericytes Increase Life Span in Utrn tm1Ked Dmd mdx /J Mice
COMPLETEPAPER-6745377_Q	Simulating reservoir storage for a wind-hydro hydrid system
COMPLETEPAPER-6753092_Q	Quality evaluation of the Finasteride polymorphic forms I and II in capsules
COMPLETEPAPER-6763622_Q	Statistical evaluation of Data Envelopment Analysisversus COLS Cobb-Douglas benchmarking models forthe 2011 Brazilian tariff revision
COMPLETEPAPER-6765791_Q	Carbon nanotubes for voltammetric determination of sulphite in some beverages
COMPLETEPAPER-6767654_Q	Mesozoic paleogeography and paleoclimates - a discussion of the diverse greenhouse and hothouse conditions of an alien world
COMPLETEPAPER-6768263_Q	Phospholes as efficient ancillaries for the rhodium-catalyzed hydroformylation and hydroaminomethylation of estragole
COMPLETEPAPER-6775664_Q	Conductivity and performance of hydraulic fractures partially filled with compressible proppant packs
COMPLETEPAPER-6777410_Q	Update and Mutational Analysis of : A Major Cause of Primary Familial Brain Calcification
COMPLETEPAPER-6778180_Q	Knowledge reduction in formal contexts using non-negative matrix factorization
COMPLETEPAPER-6783232_Q	A new approach on the stability analysis in ELKO cosmology
COMPLETEPAPER-6786843_Q	Characterisation and selection of demulsifiers for water-in-crude oil emulsions using low-field 1H NMR and ESI&#45;FT-ICR MS
COMPLETEPAPER-6787242_Q	Determination of sulfonamide antibiotics and metabolites in liver
COMPLETEPAPER-6788246_Q	Oxidation of microcystin-LR and cylindrospermopsin by heterogeneous photocatalysis using a tubular photoreactor packed with different TiO2 coated supports
COMPLETEPAPER-6788247_Q	Effect of TiO2 photocatalysis on the destruction of Microcystis aeruginosa cells and degradation of cyanotoxins microcystin-LR and cylindrospermopsin
COMPLETEPAPER-6788279_Q	New look at black holes: Existence of universal horizons
COMPLETEPAPER-6791529_Q	Changes in gene expression profiles as they relate to the adult plant leaf rust resistance in the wheat cv
COMPLETEPAPER-6796204_Q	Solid Lipid Nanoparticles as Nucleic Acid Delivery System: Properties and Molecular Mechanisms
COMPLETEPAPER-6797967_Q	X-ray microtomography of hydrochloric acid propagation in carbonate rocks
COMPLETEPAPER-6802754_Q	Direct determination of quinones in fine atmospheric particulate matter by GC MS
COMPLETEPAPER-6814745_Q	Low-cost purification of nisin from milk whey to a highly active product
COMPLETEPAPER-6815125_Q	Robust Multiobjective Optimization Applied to Optimal Control Problems Using Differential Evolution
COMPLETEPAPER-6836912_Q	A new approach for the purification of soybean acid extract: Simultaneous production of an isoflavone aglycone-rich fraction and a furfural derivative by-product
COMPLETEPAPER-6840947_Q	Multigrain and Multiphase Mathematical Model for Equiaxed Solidification
COMPLETEPAPER-6856641_Q	Temporal trends of perfluorooctanesulfonate isomer and enantiomer patterns in archived Swedish and American serum samples
COMPLETEPAPER-6865552_Q	Soil organic fractions in cultivated and uncultivated Ferralsols in Uganda
COMPLETEPAPER-6886247_Q	Polymer-bridging flocculation performance using turbulent pipe flow
COMPLETEPAPER-6889088_Q	The Role of the Mediators of Inflammation in Cancer Development
COMPLETEPAPER-6895127_Q	Application of direct solid sample analysis for the determination of chlorine in biological materials using electrothermal vaporization inductively coupled plasma mass spectrometry
COMPLETEPAPER-6933940_Q	Composition of MSM from Brazilian catfish and technological properties of fish flour
COMPLETEPAPER-6946365_Q	Influence of particle size distribution on the analysis of pellets of plant materials  by laser-induced breakdown spectroscopy
COMPLETEPAPER-6951962_Q	The study of the performance of PtNi/CeO2&#45;nanocube catalysts for low temperature steam reforming of ethanol
COMPLETEPAPER-6951963_Q	Effects of Ceria Morphology on Catalytic Performance of Ni/CeO2 Catalysts for Low Temperature Steam Reforming of Ethanol
COMPLETEPAPER-6958877_Q	Smart Traffic Light for Low Traffic Conditions
COMPLETEPAPER-6960940_Q	-You can't see them from sitting here-: Evaluating beach user understanding of a rip current warning sign
COMPLETEPAPER-6979134_Q	Studies on electrodeposition and characterization of the Ni-W-Fe alloys coatings
COMPLETEPAPER-6983062_Q	Knowledge management initiatives in software testing: A mapping study
COMPLETEPAPER-7008620_Q	Restricted access carbon nanotubes for direct extraction of cadmium from human serum samples followed by atomic absorption spectrometry analysis
COMPLETEPAPER-7016478_Q	Epithelial-mesenchymal transition (EMT) markers have prognostic impact in multiple primary oral squamous cell carcinoma
COMPLETEPAPER-7016479_Q	PHF21B as a candidate tumor suppressor gene in head and neck squamous cell carcinomas
COMPLETEPAPER-7023078_Q	Pollination ecology of two species of <i>Elleanthus</i> (Orchidaceae): novel mechanisms and underlying adaptations to hummingbird pollination
COMPLETEPAPER-7038859_Q	Evaluation of stability of bixin in nanocapsules in model systems of photosensitization and heating
COMPLETEPAPER-7039211_Q	Effects of viscosity on the mapping of initial to final state in heavy ion collisions
COMPLETEPAPER-7040881_Q	PedsQL Gastrointestinal Symptoms Scales and Gastrointestinal Worry Scales in pediatric patients with functional and organic gastrointestinal diseases in comparison to healthy controls
COMPLETEPAPER-7048341_Q	New Rubrolides Analogues as Inhibitors of Photosynthesis Light Reactions
COMPLETEPAPER-7049787_Q	Decreased AKT1/mTOR pathway mRNA expression in short-term bipolar disorder
COMPLETEPAPER-7054639_Q	Suitability of carbon fiber-reinforced polymers as power cable cores: Galvanic corrosion and thermal stability evaluation
COMPLETEPAPER-7064948_Q	Enhanced enzymatic hydrolysis and ethanol production from cashew apple bagasse pretreated with alkaline hydrogen peroxide
COMPLETEPAPER-7065151_Q	Fluorine determination in coal using high-resolution graphite furnace molecular absorption spectrometry and direct solid sample analysis
COMPLETEPAPER-7065152_Q	Use of green coating (cork) in solid-phase microextraction for the determination of organochlorine pesticides in water by gas chromatography-electron capture detection
COMPLETEPAPER-7068686_Q	Cooling and heating potential of underground soil according to depth and soil surface treatment in the Brazilian climatic regions
COMPLETEPAPER-7069906_Q	A methodology for modeling and control of weld bead width in the GMAW process
COMPLETEPAPER-7081122_Q	Validation of a sham comparator for thoracic spinal manipulation in patients with shoulder pain
COMPLETEPAPER-7093947_Q	Influence of the major nitrite transporter NirC on the virulence of a Swollen Head Syndrome Avian Pathogenic E
COMPLETEPAPER-7097448_Q	Preservation of cardiac function in left ventricle cardiac hypertrophy using an AAV vector which provides VEGF-A expression in response to p53
COMPLETEPAPER-7100655_Q	Sensitivity of tree ring growth to local and large-scale climate variability in a region of Southeastern Brazil
COMPLETEPAPER-7100703_Q	Motor development and sensory processing: A comparative study between preterm and term infants
COMPLETEPAPER-7103360_Q	Understanding the genesis of Green Supply Chain Management: lessons from leading Brazilian companies
COMPLETEPAPER-7108774_Q	Chronic unpredictable mild stress decreases BDNF and NGF levels and Na+
COMPLETEPAPER-7108775_Q	Lycopene protects against acute zearalenone-induced oxidative
COMPLETEPAPER-7130700_Q	Influence of Leaf Quality in Microbial Decomposition
COMPLETEPAPER-7132891_Q	Effects of salt and protein concentrations on the association and dissociation of ovalbumin-pectin complexes
COMPLETEPAPER-7133523_Q	The Differential Evolution method applied to continuum damage identification via flexibility matrix
COMPLETEPAPER-7137828_Q	Quantum ring in a rotating frame in the presence of a topological defect
COMPLETEPAPER-7139643_Q	Chemotactic signal transduction and phosphate metabolism as adaptive strategies during citrus canker induction by Xanthomonas citri
COMPLETEPAPER-7142427_Q	A life cycle co-benefits assessment of wind power in China
COMPLETEPAPER-7146258_Q	Flow patterns around two neighboring patches of emergent vegetation and possible implications for deposition and vegetation growth
COMPLETEPAPER-7147539_Q	Periodontal disease in children and adolescents of Latin America
COMPLETEPAPER-7156387_Q	Deforestation and Forest Fires in Roraima and Their Relationship with Phytoclimatic Regions in the Northern Brazilian Amazon
COMPLETEPAPER-7188533_Q	Profile of phenolic compounds of Brazilian virgin olive oils by rapid resolution liquid chromatography coupled to electrospray ionisation time-of-flight mass spectrometry (RRLC&#45;ESI-TOF-MS)
COMPLETEPAPER-7189438_Q	The mechanical-induced martensite transformation in Fe-Ni-C alloys
COMPLETEPAPER-7192069_Q	Pattern recognition as a tool to support decision making in the management of the electric sector
COMPLETEPAPER-7203039_Q	Biological and physicochemical properties of bovine sodium caseinate hydrolysates obtained by a bacterial protease preparation
COMPLETEPAPER-7207775_Q	Role of Rhipicephalus microplus cheliceral receptors in gustation and host differentiation
COMPLETEPAPER-7209971_Q	Correlation of Fractal Dimension with Histomorphometry in Maxillary Sinus Lifting Using Autogenous Bone Graft
COMPLETEPAPER-7218582_Q	Enhanced endothelium-dependent relaxation of rat pulmonary artery following beta-adrenergic overstimulation: Involvement of the NO/cGMP/VASP pathway
COMPLETEPAPER-7224868_Q	Creatine supplementation prevents fatty liver in rats fed choline-deficient diet: a burden of one-carbon and fatty acid metabolism
COMPLETEPAPER-7230316_Q	Adding value to agri-food residues by means of supercritical technology
COMPLETEPAPER-7230317_Q	Extraction of tocotrienols from annatto seeds by a pseudo continuously operated SFE process integrated with low-pressure solvent extraction for bixin production
COMPLETEPAPER-7230319_Q	Pressurized liquid extraction and low-pressure solvent extraction of carotenoids from pressed palm fiber: Experimental and economical evaluation
COMPLETEPAPER-7245131_Q	Dysphagia progression and swallowing management in Parkinsonas disease: an observational study
COMPLETEPAPER-7245303_Q	Paleoproterozoic accretionary and collisional processes and the build-up of the Borborema Province (NE Brazil): Geochronological and geochemical evidence from the Central Domain
COMPLETEPAPER-7251893_Q	Experience-dependent upregulation of multiple plasticity factors in the hippocampus during early REM sleep
COMPLETEPAPER-7254014_Q	Determination of low levels of benzodiazepines and their metabolites in urine by hollow-fiber liquid-phase microextraction (LPME) and gas chromatography&#45;mass spectrometry (GC&#45;MS)
COMPLETEPAPER-7258345_Q	Spouted bed drying of jambolao (Syzygium cumini) residue: Drying kinetics and effect on the antioxidant activity
COMPLETEPAPER-7260141_Q	Dyeing of cotton with reactive dyestuffs: the continuous reuse of textile wastewater effluent treated by UV/H2O2 homogeneous photocatalysis
COMPLETEPAPER-7260737_Q	Exclusive &#978; photoproduction in hadronic collisions at CERN LHC energies
COMPLETEPAPER-7280968_Q	Cloud resource management: A survey on forecasting and profiling models
COMPLETEPAPER-7288993_Q	Resistance to forced airflow through layers of composting organic material
COMPLETEPAPER-7314394_Q	The evolution of texture in an equal channel pressed aluminum AA1050
COMPLETEPAPER-7323087_Q	A human-like H1N2 influenza virus detected during an outbreak of acute respiratory disease in swine in Brazil
COMPLETEPAPER-7323688_Q	Placental transfer of IgG antibodies specific to                            and                            LPS and to group B                            in twin pregnancies
COMPLETEPAPER-7324032_Q	Norepinephrine enhances angiotensin II responses via p38 MAPK activation after hypoxia/re-oxygenation in renal interlobar arteries
COMPLETEPAPER-7337967_Q	Bt cotton and the predator Podisus nigrispinus (Dallas) (Heteroptera: Pentatomidae) in the management of Spodoptera frugiperda (J
COMPLETEPAPER-7361583_Q	Miltefosine and BODIPY-labeled alkylphosphocholine with leishmanicidal activity: Aggregation properties and interaction with model membranes
COMPLETEPAPER-7361584_Q	Fluorescence depolarization analysis of thermal phase transition in DPPC and DMPG aqueous dispersions
COMPLETEPAPER-7365039_Q	Freeze-dried grape skins by-products to enhance the quality of white wines from neutral grape varieties
COMPLETEPAPER-7386202_Q	Spatial variability of three benthic indices for marine quality assessment in a subtropical estuary of Southern Brazil
COMPLETEPAPER-7393433_Q	Chiral Chlorohydrins from the Biocatalyzed Reduction of Chloroketones: Chiral Building Blocks for Antiretroviral Drugs
COMPLETEPAPER-7399364_Q	Trastuzumab induced cardiotoxicity in HER2 positive breast cancer patients attended in a tertiary hospital
COMPLETEPAPER-7412668_Q	Parallel reaction monitoring (PRM) and selected reaction monitoring (SRM) exhibit comparable linearity
COMPLETEPAPER-7417555_Q	Emission ellipsometry as a tool for optimizing the electrosynthesis of conjugated polymers thin films
COMPLETEPAPER-7418083_Q	A solution to transient seepage in unsaturated porous media
COMPLETEPAPER-7423238_Q	A study of frost build-up on parallel plate channels
COMPLETEPAPER-7423441_Q	Effect of laser (&#955; 660 nm) and LED (&#955; 630 nm) photobiomodulation on formocresol-induced oral ulcers: a clinical and histological study on rodents
COMPLETEPAPER-7428619_Q	Physicochemical properties of WOx/ZrO2 catalysts for palmitic acid esterification
COMPLETEPAPER-7434999_Q	Polishing and parboiling effect on the nutritional and technological properties of pigmented rice
COMPLETEPAPER-7435936_Q	Expression and immunohistochemical localization of the cytochrome P450 isoform 356A1 (CYP356A1) in oyster Crassostrea gigas
COMPLETEPAPER-7444914_Q	Do people with shortened dental arches have worse oral health-related quality of life than those with more natural teeth? A population-based study
COMPLETEPAPER-7462428_Q	Amazonian freshwater habitats experiencing environmental and socioeconomic threats affecting subsistence fisheries
COMPLETEPAPER-7465275_Q	Elucidation of Color Reduction Involving Precipitation of Non-Sugars in Sugarcane ( sp
COMPLETEPAPER-7465276_Q	Characterization of ANFO explosive by high accuracy ESI( )-FTMS with forensic identification on real samples by EASI(-)-MS
COMPLETEPAPER-7467111_Q	Improving a firefly meta-heuristic for multilevel image segmentation using Tsallis entropy
COMPLETEPAPER-7470687_Q	Profile of phenolic compounds of Brazilian virgin olive oils by rapid resolution liquid chromatography coupled to electrospray ionisation time-of-flight mass spectrometry (RRLC-ESI-TOF-MS)
COMPLETEPAPER-7476049_Q	Detection of blaCTX-M-type genes in complex class 1 integrons carried by Enterobacteriaceae isolated from retail chicken meat in Brazil
COMPLETEPAPER-7485757_Q	Histological and proteomics analysis of apple defense responses to the development of Colletotrichum gloeosporioides on leaves
COMPLETEPAPER-7495744_Q	Influence of mixed sugarcane bagasse samples evaluated by elemental and physical&#45;chemical composition
COMPLETEPAPER-7502592_Q	Sexual dimorphism and brain lateralization impact behavioral and histological outcomes following hypoxia-ischemia in P3 and P7 rats
COMPLETEPAPER-7502818_Q	Different MOG35&#45;55 concentrations induce distinguishable inflammation through early regulatory response by IL-10 and TGF-&#946; in mice CNS despite unchanged clinical course
COMPLETEPAPER-7513172_Q	Improving classification performance of breast lesions on ultrasonography
COMPLETEPAPER-7516662_Q	Susceptibility to Coffee Staining during Enamel Remineralization Following the In-Office Bleaching Technique: An In Situ Assessment
COMPLETEPAPER-7519886_Q	Bupropion treatment increases epididymal contractility and impairs sperm quality with no effects on the epididymal sperm transit time of male rats
COMPLETEPAPER-7519887_Q	Sexual maturation and fertility of mice exposed to triphenyltin during prepubertal and pubertal periods
COMPLETEPAPER-7520641_Q	A three-scale model for ionic solute transport in swelling clays incorporating ion-ion correlation effects
COMPLETEPAPER-7523031_Q	Exponential energy growth in adiabatically changing Hamiltonian systems
COMPLETEPAPER-7523839_Q	Social engagement and chronic disease risk behaviors: The Multi-Ethnic Study of Atherosclerosis
COMPLETEPAPER-7527169_Q	Development of Quality Index Method (QIM) scheme for spiny lobster (Panulirus argus
COMPLETEPAPER-7532383_Q	Pillaring of bentonite clay with Al and Co
COMPLETEPAPER-7535615_Q	The Robson ten-group classification system for appraising deliveries at a tertiary referral hospital in Brazil
COMPLETEPAPER-7541979_Q	Cooperation and coauthorship in scientific publishing
COMPLETEPAPER-7542095_Q	In-office bleaching effects on the pulp flow and tooth sensitivity   case series
COMPLETEPAPER-7547079_Q	Sugarcane performance under phosphorus deficiency: physiological responses and genotypic variation
COMPLETEPAPER-7556947_Q	Magnetic SANS study of a sintered Nd-Fe-B magnet: Estimation of defect size
COMPLETEPAPER-7563600_Q	Electrochemical biosensor for carbofuran pesticide based on esterases from Eupenicillium shearii FREI-39 endophytic fungus
COMPLETEPAPER-7569253_Q	Maternal mood and concordant maternal and infant salivary cortisol during heel lance while in kangaroo care
COMPLETEPAPER-7571005_Q	Diversity of Myrtaceae in the southeastern Atlantic forest of Brazil as a tool for conservation
COMPLETEPAPER-7581361_Q	Glucose Biochip Based on Flexible Carbon Fiber Electrodes: In Vivo Diabetes Evaluation in Rats
COMPLETEPAPER-7583014_Q	Truncated somatostatin receptor variant sst5TMD4 confers aggressive features (proliferation
COMPLETEPAPER-7592083_Q	Bound vortex states and exotic lattices in multicomponent Bose-Einstein condensates: The role of vortex-vortex interaction
COMPLETEPAPER-7596631_Q	Histopathological and biochemical assessment of d-limonene-induced liver injury in rats
COMPLETEPAPER-7599749_Q	A new spectrophotometric method for determination of biodiesel content in biodiesel/diesel blends
COMPLETEPAPER-7606021_Q	Flow induced fluttering of a hinged vertical flat plate
COMPLETEPAPER-7606022_Q	The effect of inertia and flap on autorotation applied for hydrokinetic energy harvesting
COMPLETEPAPER-7612759_Q	Big-bang nucleosynthesis and gamma-ray constraints on cosmic strings with a large Higgs condensate
COMPLETEPAPER-7623277_Q	Mercury fractionation in dourada (Brachyplatystoma rousseauxii) of the Madeira River in Brazil using metalloproteomic strategies
COMPLETEPAPER-7634257_Q	Dissimilar Friction Stir Welding Between UNS S31603 Austenitic Stainless Steel and UNS S32750 Superduplex Stainless Steel
COMPLETEPAPER-7661434_Q	An improved numerical integration algorithm for elastoplastic constitutive equations
COMPLETEPAPER-7666429_Q	Effects of Protein Supplementation in Older Adults Undergoing Resistance Training: A Systematic Review and Meta-Analysis
COMPLETEPAPER-7667386_Q	Quantifying usability of domain-specific languages: An empirical study on software maintenance
COMPLETEPAPER-7670910_Q	Chemometrics applied in laboratory study on formation of oil-spm aggregates (OSAs) - A contribution to ecological evaluation
COMPLETEPAPER-7671077_Q	Available contents of potentially toxic elements in soils from the Eastern Amazon
COMPLETEPAPER-7677839_Q	The study of the performance of PtNi/CeO2-nanocube catalysts for low temperature steam reforming of ethanol
COMPLETEPAPER-7677840_Q	Study of the performance of Rh/La2O3-SiO2 and Rh/CeO2 catalysts for SR of ethanol in a conventional fixed-bed reactor and a membrane reactor
COMPLETEPAPER-7680783_Q	Tar reduction in downdraft biomass gasifier using a primary method
COMPLETEPAPER-7693703_Q	Profile of the contents of different forms of soybean isoflavones and the effect of germination time on these compounds and the physical parameters in soybean sprouts
COMPLETEPAPER-7704604_Q	Electrodeposition of copper-tin-zinc ternary alloys from disodium ethylenediaminetetraacetate bath
COMPLETEPAPER-7717454_Q	Comparative evaluation of the effectiveness of desensitizing agents in dentine tubule occlusion using scanning electron microscopy
COMPLETEPAPER-7717757_Q	Nafion&#45;titanate nanotubes composites prepared by in situ crystallization and casting for direct ethanol fuel cells
COMPLETEPAPER-7721116_Q	Large deformation analysis of functionally graded elastoplastic materials via solid tetrahedral finite elements
COMPLETEPAPER-7745896_Q	Petroleum refining flexibility and cost to address the risk of ethanol supply disruptions: The case of Brazil
COMPLETEPAPER-7761345_Q	Development of a Flooded Forest Anthropization Index (FFAI) applied to Amazonian areas under pressure from different human activities
COMPLETEPAPER-7765082_Q	Temporal nestedness in Chironomidae and the importance of environmental and spatial factors in species rarity
COMPLETEPAPER-7774271_Q	Numerical analysis of mixed convection in partially open cavities heated from below
COMPLETEPAPER-7774460_Q	Influence of copper on nickel-based catalysts in the conversion of glycerol
COMPLETEPAPER-7794589_Q	Experimental implementation of a nonthermalizing quantum thermometer
COMPLETEPAPER-7800755_Q	Granulation of indomethacin and a hydrophilic carrier by fluidized hot melt method: The drug solubility enhancement
COMPLETEPAPER-7816898_Q	Chemical modification of gum arabic and its application in the encapsulation of <i>C</i> <i>ymbopogon citratus</i> essential oil
COMPLETEPAPER-7819654_Q	Large diameter shafts for underground infrastructure
COMPLETEPAPER-7820633_Q	A hybrid method for the Probabilistic Maximal Covering Location&#45;Allocation Problem
COMPLETEPAPER-7830645_Q	Assessing biodiversity loss due to land use with Life Cycle Assessment: are we there yet?
COMPLETEPAPER-7830646_Q	Comparative Life Cycle Assessment of ceramic versus concrete roof tiles in the Brazilian context
COMPLETEPAPER-7833504_Q	A multi-molecular marker assessment of organic pollution in shore sediments from the Rio de la Plata Estuary
COMPLETEPAPER-7834885_Q	Contamination of Mesenchymal Stem-Cells with Fibroblasts Accelerates Neurodegeneration in an Experimental Model of Parkinsona  s Disease
COMPLETEPAPER-7840804_Q	A procedure to detect problems of processes in software development projects using Bayesian networks
COMPLETEPAPER-7845832_Q	Electrochemical and in situ ATR-FTIR studies of ethanol electro-oxidation in alkaline medium using PtRh/C electrocatalysts
COMPLETEPAPER-7853952_Q	Conditional removal of selectable markers in Trypanosoma cruzi using a site-specific recombination tool: proof of concept
COMPLETEPAPER-7859723_Q	Conservation of animals traded for medicinal purposes in Brazil: Can products derived of plants or domestic animals replace products of wild animals?
COMPLETEPAPER-7864622_Q	Trypanosoma cruzi antigens induce inflammatory angiogenesis in a mouse subcutaneous sponge model
COMPLETEPAPER-7866194_Q	Darwin's hypotheses to explain colonization trends: evidence from a <i>quasi</i> -natural experiment and a new conceptual model
COMPLETEPAPER-7866598_Q	The Effects of Acupuncture on Peripheral Facial Palsy Sequelae after Twenty Years via Electromyography
COMPLETEPAPER-7869476_Q	Artisanal Coalho cheeses as source of beneficial Lactobacillus plantarum and Lactobacillus rhamnosus strains
COMPLETEPAPER-7876230_Q	Enhanced corticosteroid signaling alters synaptic plasticity in the dentate gyrus in mice lacking the fragile X mental retardation protein
COMPLETEPAPER-7878166_Q	Environmental Isolation of Cryptococcus gattii VGII from Indoor Dust from Typical Wooden Houses in the Deep Amazonas of the Rio Negro Basin
COMPLETEPAPER-7879351_Q	Hydrodynamic limit for interacting neurons
COMPLETEPAPER-7882886_Q	Placement of dental implants in the maxillary tuberosity: a systematic review
COMPLETEPAPER-7895924_Q	Investigating mid-Ediacaran glaciation and final Gondwana amalgamation using coupled sedimentology and Ar/ Ar detrital muscovite provenance from the Paraguay Belt
COMPLETEPAPER-7937112_Q	Growing Scenedesmus quadricauda in used culture media: is it viable?
COMPLETEPAPER-7946318_Q	Global and local evolutionary and ecological distinctiveness of terrestrial mammals: identifying priorities across scales
COMPLETEPAPER-7963519_Q	Influence of local sources and topography on air quality and rainwater composition in Cubatao and Sao Paulo
COMPLETEPAPER-7974576_Q	Effects of skilled and unskilled training on functional recovery and brain plasticity after focal ischemia in adult rats
COMPLETEPAPER-7988198_Q	Topophysis in Corymbia torelliana   C
COMPLETEPAPER-8001159_Q	Microstructure and mechanical properties of NiCoCrAlYTa alloy processed by press and sintering route
COMPLETEPAPER-8001160_Q	Influence of phase transformations on dynamical elastic modulus and anelasticity of beta Ti-nb-Fe alloys for biomedical applications
COMPLETEPAPER-8005753_Q	Comparison of steroidogenic pathways among normoandrogenic and hyperandrogenic polycystic ovary syndrome patients and normal cycling women
COMPLETEPAPER-8022219_Q	Differential abundance of sarcoplasmic proteome explains animal effect on beef Longissimus lumborum color stability
COMPLETEPAPER-8031844_Q	Increased interictal serum levels of CXCL8/IL-8 and CCL3/MIP-1&#945; in migraine
COMPLETEPAPER-8037654_Q	Rhodamine B-conjugated encrypted vipericidin nonapeptide is a potent toxin to zebrafish and associated with in vitro cytotoxicity
COMPLETEPAPER-8039290_Q	Using bone ash as an additive in porcelain sintering
COMPLETEPAPER-8039517_Q	An explicit time-stepping technique for elastic waves under concepts of Green s functions computed locally by the FEM
COMPLETEPAPER-8050388_Q	A Two-step method for mode choice estimation with socioeconomic and spatial information
COMPLETEPAPER-8060722_Q	Numerical modeling of geomagnetically induced currents in a Brazilian transmission line
COMPLETEPAPER-8061335_Q	Plasma-based determination of inorganic contaminants in waste of electric and electronic equipment after microwave-induced combustion
COMPLETEPAPER-8061948_Q	Cellulose nanocrystals from natural fiber of the macrophyte Typha domingensis: extraction and characterization
COMPLETEPAPER-8065741_Q	Experimental setup for measuring roll waves on laminar open channel flows
COMPLETEPAPER-8073287_Q	Transparent organic&#45;inorganic nanocomposites membranes based on carboxymethylcellulose and synthetic clay
COMPLETEPAPER-8076435_Q	Laparoscopic Heller Myotomy and Fundoplication in Patients with End-Stage Achalasia
COMPLETEPAPER-8076482_Q	Epiphrenic Diverticulum of the Esophagus
COMPLETEPAPER-8089146_Q	Low-level laser therapy improves peri-implant bone formation: resonance frequency
COMPLETEPAPER-8094674_Q	Use of multi-proxy approaches to determine the origin and depositional processes in modern lacustrine sediments: Carajas Plateau
COMPLETEPAPER-8094675_Q	Mangrove shrimp farm mapping and productivity on the Brazilian Amazon coast: Environmental and economic reasons for coastal conservation
COMPLETEPAPER-8115851_Q	Efficiency of different planted forests in recovering biodiversity and ecological interactions in Brazilian Amazon
COMPLETEPAPER-8116552_Q	Classifying Metrics for Assessing Object-Oriented Software Maintainability: A Family of Metrics&#146; Catalogs
COMPLETEPAPER-8122211_Q	Term histologic chorioamnionitis: a heterogeneous condition
COMPLETEPAPER-8129158_Q	Rapid regulation of blood parameters under acute hypoxia in the Amazonian fish Prochilodus nigricans
COMPLETEPAPER-8129658_Q	Combining ALOS/PALSAR derived vegetation structure and inundation patterns to characterize major vegetation types in the Mamiraua Sustainable Development Reserve
COMPLETEPAPER-8129659_Q	Land cover classification of Lago Grande de Curuai floodplain (Amazon
COMPLETEPAPER-8135705_Q	New genetic algorithms for contingencies selection in the static security analysis of electric power systems
COMPLETEPAPER-8137097_Q	Predicting chemically-induced skin reactions
COMPLETEPAPER-8144344_Q	Protein production by Arthrospira (Spirulina) platensis in solid state cultivation using sugarcane bagasse as support
COMPLETEPAPER-8160442_Q	Structural damage detection in an aeronautical panel using analysis of variance
COMPLETEPAPER-8162537_Q	Control-based optimization approach for aircraft scheduling in a terminal area with alternative arrival routes
COMPLETEPAPER-8172485_Q	First principles calculation of magnetic order in a low-temperature phase of the iron ludwigite
COMPLETEPAPER-8177303_Q	Application of home-made lipase in the production of geranyl propionate by esterification of geraniol and propionic acid in solvent-free system
COMPLETEPAPER-8179733_Q	Tire tread pattern design trigger on the stress distribution over rigid surfaces and soil compaction
COMPLETEPAPER-8205718_Q	A mixed integer linear programming model for the energy management problem of microgrids
COMPLETEPAPER-8206444_Q	Optic Neuritis and the Visual Pathway: Evaluation of Neuromyelitis Optica Spectrum by Resting-State fMRI and Diffusion Tensor MRI
COMPLETEPAPER-8207882_Q	Copper-zinc electrodeposition in alkaline-sorbitol medium: electrochemical studies and structural
COMPLETEPAPER-8215645_Q	Impact of temperature and light intensity on triacylglycerol accumulation in marine microalgae
COMPLETEPAPER-8215646_Q	Combined effects of irradiance
COMPLETEPAPER-8215758_Q	Use of multivariate statistical techniques to optimize the separation of 17 capsinoids by ultra performance liquid chromatography using different columns
COMPLETEPAPER-8231693_Q	The effects of JM-20 on the glutamatergic system in synaptic vesicles
COMPLETEPAPER-8258505_Q	Design of experiments to evaluate clay swelling inhibition by different combinations of organic compounds and inorganic salts for application in water base drilling fluids
COMPLETEPAPER-8268894_Q	Effects of phytoplankton extracts containing the toxin microcystin-LR on the survival and reproduction of cladocerans
COMPLETEPAPER-8282773_Q	Evaluation of cross-cultural adaptation and measurement properties of breast cancer-specific quality-of-life questionnaires: a systematic review
COMPLETEPAPER-8291274_Q	Effects of extracts of leaves from Sparattosperma leucanthum on hyperuricemia and gouty arthritis
COMPLETEPAPER-8300251_Q	Photoluminescence of BaZrO3 explained by a order/disorded transformation
COMPLETEPAPER-8304038_Q	Systematic review with hierarchical clustering analysis for the fractal dimension in assessment of skeletal bone mineral density using dental radiographs
COMPLETEPAPER-8304151_Q	Effects of nitrate toxicity in the Pacific white shrimp
COMPLETEPAPER-8304152_Q	The effect of different alkalinity levels on Litopenaeus vannamei reared with biofloc technology (BFT)
COMPLETEPAPER-8317262_Q	Acute Stress Affects The Global Dna Methylation Profile In Rat Brain: Modulation By Physical Exercise
